# Résultats A3C Dueling
# Format: timestamp,récompense,longueur_épisode1775525590.0587208,0.0,27000
1775525754.6404092,0.0,27000
1775525918.5129268,0.0,27000
1775526090.7607937,0.0,27000
1775526259.3365133,0.0,27000
1775526439.242696,0.0,27000
1775526621.0629044,0.0,27000
1775526805.0461574,0.0,27000
1775526975.546569,0.0,27000
1775527145.699303,0.0,27000
1775527315.7668123,0.0,27000
1775527492.0190418,0.0,27000
1775527662.7987614,0.0,27000
1775527830.723598,0.0,27000
1775528007.052089,0.0,27000
1775528174.815851,0.0,27000
1775528346.8382556,0.0,27000
1775528512.8451757,0.0,27000
1775528680.8929605,0.0,27000
1775528856.0497696,0.0,27000
1775529036.293293,0.0,27000
1775529217.9588745,0.0,27000
1775529387.9694223,0.0,27000
1775529463.7057295,0.0,122
1775529524.4327896,0.0,122
1775529585.229119,0.0,122
1775529646.8189685,0.0,122
1775529707.5042028,0.0,122
1775529768.332242,0.0,122
1775529829.680556,0.0,122
1775529890.358118,0.0,122
1775529951.6809669,0.0,122
1775530012.3970997,0.0,122
1775530073.106919,0.0,122
1775530133.8221793,0.0,122
1775530194.5074084,0.0,122
1775530255.8081024,0.0,122
1775530316.5022376,0.0,122
1775530377.1994805,0.0,122
1775530437.979844,0.0,122
1775530498.6528368,0.0,122
1775530559.4002852,0.0,122
1775530620.0739963,0.0,122
1775530680.7486718,0.0,122
1775530741.4603658,0.0,122
1775530802.2663832,0.0,122
1775530863.0557868,0.0,122
1775530923.7880297,0.0,122
1775530984.7877455,0.0,122
1775531045.452683,0.0,122
1775531106.0998225,0.0,123
1775531167.2210207,0.0,122
1775531227.9206686,0.0,122
1775531288.8820026,0.0,122
1775531349.5691988,0.0,122
1775531410.2700846,0.0,122
1775531471.024271,0.0,122
1775531531.6419587,0.0,122
1775531592.3126953,0.0,122
1775531653.572157,0.0,122
1775531714.1962173,0.0,122
1775531774.8842564,0.0,122
1775531835.8748739,0.0,122
1775531896.5572393,0.0,122
1775531957.27281,0.0,122
1775532018.636541,0.0,122
1775532079.9271185,0.0,122
1775532140.508628,0.0,122
1775532201.828554,0.0,122
1775532262.7491796,0.0,122
1775532323.6513436,0.0,122
1775532384.9543915,0.0,122
1775532446.3099833,0.0,122
1775532507.0381353,0.0,122
1775532568.0922108,0.0,122
1775532628.6789882,0.0,122
1775532689.5459392,0.0,122
1775532750.2383378,0.0,122
1775532811.5796514,0.0,122
1775532872.30569,0.0,122
1775532933.1587799,0.0,122
1775532994.5286124,0.0,122
1775533055.83009,0.0,122
1775533117.152419,0.0,122
1775533177.858478,0.0,122
1775533238.566053,0.0,122
1775533299.2963972,0.0,122
1775533360.1655426,0.0,122
1775533421.4625304,0.0,122
1775533482.2414596,0.0,122
1775533542.965469,0.0,122
1775533603.9279835,0.0,122
1775533665.0907612,0.0,122
1775533725.8562598,0.0,122
1775533786.5550964,0.0,122
1775533847.3494797,0.0,122
1775533908.1940596,0.0,122
1775533968.8546083,0.0,122
1775534029.6674771,0.0,122
1775534091.0158432,0.0,122
1775534152.2917259,0.0,122
1775534213.0484886,0.0,122
1775534273.785027,0.0,122
1775534334.8334107,0.0,122
1775534395.6738026,0.0,122
1775534457.1129405,0.0,122
1775534517.8531034,0.0,122
1775534578.5705984,0.0,122
1775534639.3301573,0.0,122
1775534700.1497705,0.0,122
1775534760.8956778,0.0,122
1775534821.5965452,0.0,122
1775534882.2841327,0.0,122
1775534942.9644175,0.0,122
1775535003.6866627,0.0,122
1775535064.7083895,0.0,122
1775535125.434651,0.0,122
1775535186.1408422,0.0,122
1775535246.9160883,0.0,122
1775535307.5883431,0.0,122
1775535368.4221196,0.0,122
1775535429.4030032,0.0,122
1775535490.2801845,0.0,122
1775535551.0324585,0.0,122
1775535612.4118936,0.0,122
1775535673.1399422,0.0,122
1775535733.960053,0.0,122
1775535794.9671767,0.0,122
1775535855.9610088,0.0,122
1775535916.8505988,0.0,122
1775535978.1539662,0.0,122
1775536039.258404,0.0,122
1775536099.9620287,0.0,122
1775536160.7425034,0.0,122
1775536221.4789438,0.0,122
1775536282.2401001,0.0,122
1775536343.578222,0.0,122
1775536404.3562908,0.0,122
1775536465.063842,0.0,122
1775536525.9135668,0.0,122
1775536586.6537585,0.0,122
1775536647.3953145,0.0,122
1775536708.3057694,0.0,122
1775536769.3004827,0.0,122
1775536830.0398798,0.0,122
1775536890.7575037,0.0,122
1775536951.380497,0.0,122
1775537012.1266096,0.0,122
1775537073.0935986,0.0,122
1775537133.8552847,0.0,122
1775537194.598512,0.0,122
1775537255.9377837,0.0,122
1775537316.7245169,0.0,122
1775537377.399726,0.0,122
1775537438.1320853,0.0,122
1775537498.7888556,0.0,122
1775537559.683775,0.0,122
1775537620.3846037,0.0,122
1775537681.0586607,0.0,122
1775537741.9492502,0.0,122
1775537802.949991,0.0,122
1775537863.6995184,0.0,122
1775537924.503186,0.0,122
1775537985.4262285,0.0,122
1775538046.2034035,0.0,122
1775538107.1744127,0.0,122
1775538167.9387746,0.0,122
1775538228.6391206,0.0,122
1775538289.358733,0.0,122
1775538350.3335233,0.0,122
1775538411.1736343,0.0,122
1775538471.8683457,0.0,122
1775538532.5879943,0.0,122
1775538593.2459974,0.0,122
1775538653.9153564,0.0,122
1775538714.6513333,0.0,122
1775538775.5610595,0.0,122
1775538836.8964715,0.0,122
1775538898.2123597,0.0,122
1775538958.9092708,0.0,122
1775539020.3042343,0.0,122
1775539081.0432622,0.0,122
1775539141.7692525,0.0,122
1775539202.6404605,0.0,122
1775539263.3634102,0.0,122
1775539324.0912251,0.0,122
1775539384.882738,0.0,122
1775539446.1715453,0.0,122
1775539506.8714821,0.0,122
1775539567.6706297,0.0,122
1775539628.4427886,0.0,122
1775539689.308071,0.0,122
