# Format: timestamp,récompense,longueur_épisode
1774995016.7414193,0.0,27000
1774995181.7274654,0.0,27000
1774995242.2960114,0.0,122
1774995403.8549378,0.0,27000
1774995464.3368754,0.0,122
1774995525.1246035,0.0,146
1774995687.3100169,0.0,27000
1774995850.0065069,0.0,27000
1774995910.6304972,0.0,122
1774996073.1134400,0.0,27000
1774996236.7505295,0.0,27000
1774996398.7528079,0.0,27000
1774996563.0037308,0.0,27000
1774996623.7340221,0.0,122
1774996784.9099579,0.0,27000
1774996947.5916126,0.0,27000
1774997109.7372234,0.0,27000
1774997170.4380534,0.0,122
1774997332.4698727,0.0,27000
1774997494.1272116,0.0,27000
1774997655.5245371,0.0,27000
1774997716.3529580,0.0,122
1774997879.0157242,0.0,27000
1774998041.1849356,0.0,27000
1774998203.7990885,0.0,27000
1774998366.0386617,0.0,27000
1774998528.5882378,0.0,27000
1774998692.8999326,0.0,27000
1774998765.8331897,0.0,3110
1774998927.1863725,0.0,27000
1774999009.4909422,0.0,5620
1774999174.3078282,0.0,27000
1774999336.4884579,0.0,27000
1774999500.3723564,0.0,27000
1774999560.9978359,0.0,122
1774999621.5849175,0.0,122
1774999682.3542440,0.0,122
1774999743.1808243,0.0,122
1774999803.8253667,0.0,122
1774999964.9751437,0.0,27000
1775000126.5173671,0.0,27000
1775000289.1996026,0.0,27000
1775000451.0912900,0.0,27000
1775000613.7901399,0.0,27000
1775000777.1690719,0.0,27000
1775000939.2980595,0.0,27000
1775001101.3019288,0.0,27000
1775001263.2889886,0.0,27000
1775001428.5043035,0.0,27000
1775001590.7543266,0.0,27000
1775001752.1404028,0.0,27000
1775001914.4823070,0.0,27000
1775002075.7682168,0.0,27000
1775002237.8228998,0.0,27000
1775002399.7970908,0.0,27000
1775002560.9166074,0.0,27000
1775002621.4278250,0.0,122
1775002681.9949968,0.0,122
1775002742.4695122,0.0,122
1775002803.1574819,0.0,122
1775002863.7576973,0.0,122
1775002924.3385856,0.0,122
1775002984.9546411,0.0,122
1775003045.4374802,0.0,122
1775003106.1229312,0.0,122
1775003166.7524333,0.0,122
1775003227.5011234,0.0,122
1775003288.0629454,0.0,122
1775003348.6538100,0.0,122
1775003409.1635523,0.0,122
1775003469.6475501,0.0,122
1775003530.1700547,0.0,122
1775003590.7627680,0.0,122
1775003651.3388214,0.0,122
1775003712.0326929,0.0,122
1775003772.5409877,0.0,122
1775003833.1403935,0.0,122
1775003893.7247710,0.0,122
1775003954.2227733,0.0,122
1775004014.6975787,0.0,122
1775004075.4900122,0.0,122
1775004136.0687871,0.0,122
1775004196.6063890,0.0,122
1775004257.3159873,0.0,122
1775004317.8455853,0.0,122
1775004378.4714954,0.0,122
1775004439.0583265,0.0,122
1775004499.6252718,0.0,122
1775004560.2362816,0.0,122
1775004620.8794763,0.0,122
1775004681.5449297,0.0,122
1775004742.1517515,0.0,122
1775004802.7634087,0.0,122
1775004863.3772974,0.0,122
1775004924.0140111,0.0,122
1775004984.5512831,0.0,122
1775005045.1762764,0.0,122
1775005105.8243780,0.0,122
1775005166.2756875,0.0,122
1775005226.8892927,0.0,122
1775005287.4563396,0.0,122
1775005348.0206268,0.0,122
